City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Bengaluru,2015-04-15,22.52,,6.71,4.86,14.02,15.15,5.45,4.9,77.05,0.21,5.37,,177.0,Moderate
Bengaluru,2015-04-16,21.36,,2.86,7.98,12.69,16.61,0.97,29.11,96.88,0.16,0.54,,152.0,Moderate
Bengaluru,2015-04-17,24.35,,3.06,6.64,7.42,38.54,12.93,2.58,97.2,,12.95,,210.0,Poor
Bengaluru,2015-04-18,18.33,,2.4,5.98,6.47,21.02,3.84,3.99,101.63,,4.51,,170.0,Moderate
Bengaluru,2015-04-19,17.66,,1.85,6.58,5.89,21.93,0.48,2.49,81.34,,0.48,,135.0,Moderate
Bengaluru,2015-04-20,27.46,,2.53,7.91,7.1,24.78,4.58,5.53,37.22,,5.17,,118.0,Moderate
Bengaluru,2015-04-21,27.94,,3.8,6.45,9.94,17.34,6.14,4.43,34.74,0.23,6.14,,127.0,Moderate
Bengaluru,2015-04-22,23.81,,4.01,6.21,13.57,5.42,,26.42,32.79,0.22,,,47.0,Good
Bengaluru,2015-04-23,23.11,,4.16,6.84,14.07,18.77,3.65,12.35,15.88,,12.16,,44.0,Good
Bengaluru,2015-04-24,15.12,,4.35,14.96,12.52,35.77,1.13,5.12,109.66,,1.27,,67.0,Satisfactory
Bengaluru,2015-04-25,19.59,,4.35,8.42,12.28,17.93,3.1,26.92,157.2,,2.17,,44.0,Good
Bengaluru,2015-04-26,69.85,,8.6,14.35,19.55,15.8,1.22,15.91,123.32,,0.77,,82.0,Satisfactory
Bengaluru,2015-04-27,24.62,,3.77,7.74,11.71,13.92,1.26,18.89,65.38,,1.36,,156.0,Moderate
Bengaluru,2015-04-28,32.92,,7.12,12.95,18.7,11.62,2.31,14.79,57.59,43.78,3.7,,96.0,Satisfactory
Bengaluru,2015-04-29,44.53,,7.24,17.71,22.68,11.4,1.34,8.34,27.11,47.26,15.45,,72.0,Satisfactory
Bengaluru,2015-04-30,26.68,,3.79,16.69,12.64,10.15,,11.54,51.81,39.43,13.75,,117.0,Moderate
Bengaluru,2015-05-01,39.06,,3.45,14.31,12.05,6.09,1.59,4.96,26.93,35.9,11.32,,67.0,Satisfactory
Bengaluru,2015-05-02,50.83,,5.74,14.24,14.93,21.03,4.44,2.99,16.83,34.57,9.36,,217.0,Poor
