City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Delhi,2015-12-29,159.67,325.05,33.33,73.11,82.43,60.62,2.32,21.23,82.69,3.4,6.16,,331.0,Very Poor
Delhi,2015-12-30,233.97,391.19,68.54,87.4,133.08,72.74,1.94,22.31,94.75,5.31,12.28,,412.0,Severe
Delhi,2015-12-31,240.97,389.18,85.66,72.93,131.21,72.69,2.38,24.08,87.26,5.58,16.21,0.0,433.0,Severe
Delhi,2016-01-01,295.71,476.09,86.62,94.04,131.36,79.87,2.42,23.57,108.14,5.81,16.3,0.0,463.0,Severe
Delhi,2016-01-02,239.21,395.29,69.42,81.22,126.63,65.11,2.15,23.33,90.45,5.79,17.65,,465.0,Severe
Delhi,2016-01-03,270.1,484.82,54.41,76.67,101.63,66.4,2.39,19.94,97.03,5.33,10.78,,426.0,Severe
Delhi,2016-01-04,339.8,586.2,124.31,133.95,164.05,73.73,2.97,27.9,91.2,7.12,19.01,,496.0,Severe
Delhi,2016-01-05,318.1,535.3,106.93,118.81,159.99,78.22,2.85,30.24,131.4,6.45,21.32,,528.0,Severe
Delhi,2016-01-06,305.51,524.01,99.0,103.78,150.4,83.7,3.37,25.78,135.04,7.07,22.16,,538.0,Severe
Delhi,2016-01-07,391.54,587.23,167.73,96.36,213.61,105.21,3.39,26.47,186.07,9.07,32.59,,535.0,Severe
Delhi,2016-01-08,339.87,540.86,109.0,67.85,170.76,98.29,2.34,14.19,150.8,6.61,18.62,,603.0,Severe
Delhi,2016-01-09,158.43,324.64,47.9,60.63,103.82,60.24,2.38,17.94,100.54,3.43,6.7,,408.0,Severe
Delhi,2016-01-10,183.24,345.68,85.1,68.86,119.51,62.87,2.14,24.96,130.02,3.98,9.27,,368.0,Very Poor
Delhi,2016-01-11,227.13,411.6,130.64,76.4,179.86,68.11,2.88,23.98,140.72,6.19,19.28,,404.0,Severe
Delhi,2016-01-12,195.21,381.19,98.0,78.61,141.55,64.5,2.06,24.06,131.63,4.26,15.4,,444.0,Severe
Delhi,2016-01-13,248.59,399.59,25.76,73.18,95.74,68.5,1.62,16.73,95.93,3.34,7.27,,356.0,Very Poor
Delhi,2016-01-14,196.87,339.06,22.82,55.91,76.14,59.65,1.35,11.82,97.98,2.51,5.49,,397.0,Very Poor
Delhi,2016-01-15,178.8,259.53,24.84,45.85,67.9,47.42,1.39,10.86,81.66,2.41,5.16,,371.0,Very Poor
Delhi,2016-01-16,138.86,220.21,16.26,41.92,56.84,35.05,1.55,11.25,67.4,2.31,4.48,,311.0,Very Poor
Delhi,2016-01-17,179.48,268.5,24.14,58.56,75.29,35.01,1.45,15.89,78.01,2.21,4.79,,321.0,Very Poor
Delhi,2016-01-18,269.05,451.43,75.17,78.22,129.46,45.72,2.4,15.42,107.94,3.78,8.46,,424.0,Severe
Delhi,2016-01-19,278.2,430.74,25.48,61.04,81.75,43.49,3.82,12.59,104.61,3.44,7.68,,435.0,Severe
Delhi,2016-01-20,272.1,415.38,25.73,56.67,73.35,40.44,1.84,14.75,100.12,3.93,7.77,,455.0,Severe
Delhi,2016-01-21,196.83,318.08,29.85,52.83,74.47,37.76,1.68,11.99,91.52,3.95,8.5,,398.0,Very Poor
Delhi,2016-01-22,290.66,418.92,58.36,73.9,118.66,48.9,1.94,17.13,136.52,6.63,15.31,,399.0,Very Poor
Delhi,2016-01-23,294.3,480.0,58.3,78.21,130.91,67.05,2.13,16.81,147.56,11.67,31.39,,469.0,Severe
Delhi,2016-01-24,303.5,446.28,18.81,64.55,84.23,56.64,2.6,14.74,132.54,13.06,20.63,,488.0,Severe
Delhi,2016-01-25,217.05,362.08,27.18,66.89,84.08,44.74,1.32,16.09,103.53,8.15,15.77,,401.0,Severe
Delhi,2016-01-26,308.75,462.91,33.24,80.14,104.98,58.38,1.7,17.97,139.27,9.11,15.21,,446.0,Severe
Delhi,2016-01-27,255.94,424.11,68.34,87.93,136.31,63.16,2.03,17.09,142.54,9.97,27.76,,456.0,Severe
Delhi,2016-01-28,283.03,463.03,96.44,90.45,154.28,68.84,2.09,23.63,151.6,13.06,33.02,,451.0,Severe
Delhi,2016-01-29,311.08,498.38,140.59,117.07,139.36,74.39,2.54,29.99,175.04,17.15,48.03,,501.0,Severe
Delhi,2016-01-30,285.83,450.72,114.59,111.19,202.98,78.01,2.54,27.94,157.74,11.99,36.72,,505.0,Severe
Delhi,2016-01-31,242.05,291.16,22.08,46.17,61.75,53.86,1.77,12.4,75.74,3.93,9.75,,437.0,Severe
Delhi,2016-02-01,121.4,193.5,20.04,60.12,73.48,37.51,1.08,16.33,90.99,2.9,6.96,,305.0,Very Poor
Delhi,2016-02-02,135.31,242.87,26.56,63.6,86.07,32.1,1.14,19.08,94.8,3.55,7.54,,292.0,Poor
Delhi,2016-02-03,136.87,273.78,18.78,61.81,80.6,30.46,1.11,24.23,95.15,4.51,8.58,,306.0,Very Poor
Delhi,2016-02-04,130.76,269.21,63.15,67.45,115.18,31.31,1.47,23.7,85.13,9.22,17.93,,300.0,Poor
Delhi,2016-02-05,206.72,383.25,103.55,86.15,180.54,38.98,1.82,30.2,121.22,13.75,29.14,,371.0,Very Poor
Delhi,2016-02-06,224.94,348.14,139.49,85.86,143.3,41.58,2.6,26.22,149.67,11.57,36.79,,408.0,Severe
Delhi,2016-02-07,170.45,249.91,24.15,72.61,90.15,46.76,1.28,20.74,95.23,5.29,12.12,,343.0,Very Poor
Delhi,2016-02-08,119.57,186.86,46.36,57.0,102.85,45.57,1.26,19.21,74.61,7.03,15.39,,301.0,Very Poor
Delhi,2016-02-09,181.76,261.7,53.77,65.45,101.07,44.85,1.46,19.53,106.92,8.52,19.03,,322.0,Very Poor
Delhi,2016-02-10,216.55,341.38,99.27,81.98,159.3,48.24,2.02,21.61,129.76,10.15,25.69,,368.0,Very Poor
Delhi,2016-02-11,150.0,270.49,61.14,70.99,101.48,41.33,1.88,21.25,93.1,7.25,31.62,,349.0,Very Poor
Delhi,2016-02-12,146.03,296.27,41.52,79.43,102.77,35.09,1.56,26.86,117.2,6.5,12.45,,334.0,Very Poor
Delhi,2016-02-13,110.89,228.81,15.7,56.05,60.22,33.55,2.14,20.94,101.47,3.19,6.06,,333.0,Very Poor
Delhi,2016-02-14,103.57,177.49,21.11,61.73,71.42,35.13,1.11,29.71,89.22,4.57,8.6,,257.0,Poor
Delhi,2016-02-15,115.7,219.52,26.8,66.8,88.44,35.02,1.88,27.44,93.47,6.81,11.64,,265.0,Poor
Delhi,2016-02-16,123.22,216.09,27.2,65.75,91.8,32.58,1.25,29.19,95.46,6.11,10.5,,297.0,Poor
Delhi,2016-02-17,135.38,236.15,30.25,80.76,107.45,35.79,1.36,37.35,89.38,8.2,17.99,,289.0,Poor
Delhi,2016-02-18,148.75,217.16,41.39,76.11,115.01,54.55,1.41,26.28,90.48,9.41,24.42,,310.0,Very Poor
Delhi,2016-02-19,207.1,307.38,54.8,66.45,119.87,67.61,1.76,32.25,108.89,10.6,22.71,,366.0,Very Poor
Delhi,2016-02-20,150.89,225.66,72.64,47.72,109.23,79.34,1.48,20.15,84.64,8.31,29.83,,345.0,Very Poor
Delhi,2016-02-21,76.12,137.44,9.77,30.51,38.62,47.95,1.0,10.43,73.2,3.07,6.16,,228.0,Poor
Delhi,2016-02-22,88.73,137.44,12.59,41.47,48.81,30.92,1.02,20.79,75.96,3.48,4.69,,213.0,Poor
Delhi,2016-02-23,86.17,194.61,32.16,56.77,58.22,28.75,1.41,21.27,95.32,2.19,4.9,,208.0,Poor
Delhi,2016-02-24,177.64,309.47,93.53,117.04,150.74,35.85,2.07,50.44,200.41,4.5,14.62,,319.0,Very Poor
Delhi,2016-02-25,131.69,232.45,53.41,81.93,121.16,36.07,1.6,21.19,97.56,5.66,15.91,,315.0,Very Poor
Delhi,2016-02-26,129.66,236.27,50.39,76.82,101.86,27.19,1.63,21.44,115.84,2.56,8.82,,293.0,Poor
Delhi,2016-02-27,144.98,245.96,63.25,86.59,102.02,36.93,1.78,24.43,117.3,3.51,10.6,,342.0,Very Poor
Delhi,2016-02-28,163.92,263.73,84.62,76.43,114.7,41.99,1.98,21.63,130.99,3.71,11.29,,338.0,Very Poor
Delhi,2016-02-29,170.12,255.34,85.99,76.4,134.66,49.77,1.99,17.63,137.57,5.5,17.45,,344.0,Very Poor
Delhi,2016-03-01,213.62,299.88,113.63,102.02,151.93,51.11,2.43,25.49,138.3,10.49,34.16,,370.0,Very Poor
Delhi,2016-03-02,175.63,244.58,123.21,102.23,181.1,41.75,1.94,25.53,157.07,6.27,24.07,,365.0,Very Poor
Delhi,2016-03-03,165.22,264.31,116.23,100.71,182.37,48.37,2.61,33.45,113.89,10.66,37.95,,348.0,Very Poor
Delhi,2016-03-04,115.55,201.71,28.05,60.47,79.02,39.42,1.36,16.6,103.88,3.87,10.79,,312.0,Very Poor
Delhi,2016-03-05,53.0,129.37,9.63,48.15,48.15,31.6,0.73,19.05,84.88,1.82,4.78,,214.0,Poor
Delhi,2016-03-06,47.43,60.61,17.03,55.78,61.54,44.64,0.86,15.1,81.26,2.32,5.23,,165.0,Moderate
Delhi,2016-03-07,98.61,167.78,33.11,54.69,84.84,54.88,1.28,20.44,82.97,6.69,12.43,,218.0,Poor
Delhi,2016-03-08,84.42,134.81,19.94,43.9,61.04,40.96,1.07,26.24,61.83,4.16,8.24,,230.0,Poor
Delhi,2016-03-09,109.16,164.84,35.5,49.75,76.08,35.16,1.16,31.56,66.4,4.96,10.61,,248.0,Poor
Delhi,2016-03-10,129.9,240.67,54.54,60.19,100.31,37.73,1.57,26.69,92.04,7.33,15.62,,276.0,Poor
Delhi,2016-03-11,85.76,204.96,38.38,30.44,48.08,28.85,1.69,9.58,36.99,3.31,11.5,,213.0,Poor
Delhi,2016-03-12,60.17,,8.84,15.89,19.14,,2.0,8.04,31.91,1.52,4.28,,127.0,Moderate
Delhi,2016-03-13,58.95,,4.1,10.63,15.13,,1.43,7.25,66.25,1.03,2.48,,112.0,Moderate
Delhi,2016-03-14,51.82,79.14,23.42,38.11,46.02,23.58,1.22,18.53,55.08,1.75,6.96,,111.0,Moderate
Delhi,2016-03-15,81.32,162.38,71.57,34.54,75.09,26.0,1.74,20.36,77.88,3.24,11.97,,193.0,Moderate
Delhi,2016-03-16,67.63,152.46,21.36,36.61,53.44,29.89,1.14,17.04,48.58,3.62,7.91,,123.0,Moderate
Delhi,2016-03-17,70.86,137.98,22.03,65.89,78.38,31.57,1.12,21.48,73.05,4.97,11.2,,194.0,Moderate
Delhi,2016-03-18,72.47,133.3,24.06,64.64,69.35,30.43,1.24,27.7,70.45,1.92,5.0,,186.0,Moderate
Delhi,2016-03-19,103.73,194.95,67.6,77.89,131.48,38.99,2.2,30.74,56.49,3.3,10.69,,242.0,Poor
Delhi,2016-03-20,95.52,167.64,55.13,57.84,99.81,52.94,1.56,20.52,97.74,4.21,13.34,,267.0,Poor
Delhi,2016-03-21,58.4,129.21,12.64,36.37,45.3,33.75,1.14,15.98,65.16,3.13,6.75,,207.0,Poor
Delhi,2016-03-22,47.43,139.62,5.98,31.12,32.05,21.64,0.96,13.54,70.69,2.41,4.66,,176.0,Moderate
Delhi,2016-03-23,80.01,148.1,34.57,50.45,67.93,27.0,1.29,22.15,84.89,3.3,6.61,,189.0,Moderate
Delhi,2016-03-24,156.01,228.19,85.62,88.44,138.71,39.36,2.18,24.44,169.36,4.06,10.5,,341.0,Very Poor
Delhi,2016-03-25,137.99,217.03,47.16,85.91,112.34,44.01,2.1,32.84,142.38,4.46,10.03,,325.0,Very Poor
Delhi,2016-03-26,72.44,122.24,12.75,42.51,48.36,37.72,1.1,23.86,66.2,2.52,6.11,,259.0,Poor
Delhi,2016-03-27,61.75,54.0,6.56,37.18,36.21,28.36,0.74,18.09,66.87,1.6,3.56,,178.0,Moderate
Delhi,2016-03-28,81.46,110.31,21.37,53.01,67.76,27.83,1.04,25.75,77.27,3.49,7.83,,219.0,Poor
Delhi,2016-03-29,89.75,156.89,18.61,48.72,62.06,29.91,1.28,42.34,67.87,4.29,8.11,,206.0,Poor
Delhi,2016-03-30,88.68,163.7,28.13,46.74,64.38,27.39,1.35,36.91,47.01,4.1,8.45,,221.0,Poor
Delhi,2016-03-31,127.86,218.3,93.5,61.21,117.28,34.59,2.2,19.64,62.15,3.73,11.76,,298.0,Poor
Delhi,2016-04-01,130.7,,5.58,15.89,20.05,,1.39,12.78,29.69,2.3,5.74,,316.0,Very Poor
Delhi,2016-04-02,118.44,,16.79,18.29,30.66,,1.88,16.35,29.38,4.26,9.87,,294.0,Poor
Delhi,2016-04-03,148.22,217.84,63.75,44.98,91.09,62.22,1.68,27.44,69.66,6.9,17.57,,314.0,Very Poor
Delhi,2016-04-04,132.86,377.61,54.82,31.55,70.95,59.55,1.51,20.54,63.44,8.27,15.68,,334.0,Very Poor
Delhi,2016-04-05,97.83,174.11,7.16,20.15,26.39,24.26,1.38,18.86,28.8,3.23,6.9,,261.0,Poor
Delhi,2016-04-06,91.82,202.91,24.61,52.54,64.76,32.31,1.4,31.06,37.04,4.94,17.96,,208.0,Poor
Delhi,2016-04-07,129.61,329.68,54.59,58.6,98.07,48.67,1.22,35.57,32.33,8.56,23.17,,289.0,Poor
Delhi,2016-04-08,89.78,193.14,24.3,53.55,75.27,31.01,1.52,48.86,34.75,7.42,18.35,,216.0,Poor
Delhi,2016-04-09,166.76,272.67,65.1,63.03,122.4,35.12,1.51,46.97,47.93,12.58,21.16,,314.0,Very Poor
Delhi,2016-04-10,107.81,154.18,35.14,47.95,82.5,33.72,1.77,35.24,31.6,6.63,12.59,,262.0,Poor
Delhi,2016-04-11,81.12,246.86,13.25,36.5,47.89,31.62,0.72,22.66,61.02,4.87,8.42,,257.0,Poor
Delhi,2016-04-12,74.03,201.81,13.94,35.44,48.38,23.32,0.71,17.85,58.47,3.54,6.19,,235.0,Poor
Delhi,2016-04-13,74.9,247.61,25.64,46.29,70.06,22.7,1.11,25.16,58.74,3.5,6.9,,239.0,Poor
Delhi,2016-04-14,94.81,220.48,39.07,58.81,78.15,22.82,1.32,26.21,75.75,4.53,9.5,,239.0,Poor
Delhi,2016-04-15,137.48,285.18,88.96,76.2,133.09,34.25,1.98,37.57,85.91,7.75,19.19,,302.0,Very Poor
Delhi,2016-04-16,124.13,,36.76,37.49,54.07,17.79,1.88,14.84,35.97,3.55,10.0,,296.0,Poor
Delhi,2016-04-17,102.86,283.02,30.63,42.35,61.61,21.22,1.04,13.34,66.77,2.91,7.11,,247.0,Poor
Delhi,2016-04-18,102.9,219.17,33.28,49.32,78.86,28.33,0.98,22.15,81.29,4.76,9.28,,265.0,Poor
Delhi,2016-04-19,129.06,311.93,35.74,63.21,99.16,28.32,1.52,35.73,98.35,6.73,17.39,,301.0,Very Poor
Delhi,2016-04-20,124.8,283.05,22.33,48.65,66.43,25.14,1.09,29.16,97.22,5.51,9.32,,322.0,Very Poor
Delhi,2016-04-21,92.74,265.56,13.43,42.87,50.67,20.52,0.88,19.87,103.07,2.82,5.38,,291.0,Poor
Delhi,2016-04-22,113.75,208.42,9.87,44.8,46.72,20.0,0.93,25.63,110.09,1.91,4.27,,292.0,Poor
Delhi,2016-04-23,89.52,171.92,18.15,50.78,56.56,20.6,1.51,25.65,87.26,1.88,4.73,,258.0,Poor
Delhi,2016-04-24,123.59,219.3,57.65,69.92,102.52,22.0,1.7,40.96,87.66,3.33,9.01,,282.0,Poor
Delhi,2016-04-25,104.5,213.36,31.14,70.04,91.82,23.14,1.47,39.91,87.38,3.17,10.97,,271.0,Poor
Delhi,2016-04-26,139.37,306.08,71.92,97.93,118.98,29.38,2.08,38.53,86.82,5.89,17.43,,314.0,Very Poor
Delhi,2016-04-27,162.54,379.7,154.33,108.53,168.05,39.52,2.7,33.53,87.74,9.46,31.19,,377.0,Very Poor
Delhi,2016-04-28,161.23,354.17,72.12,80.4,126.06,37.83,2.08,35.7,117.59,6.68,18.75,,390.0,Very Poor
Delhi,2016-04-29,181.49,383.05,62.82,88.26,117.82,32.04,2.14,38.0,56.3,5.69,13.15,,392.0,Very Poor
Delhi,2016-04-30,142.64,,30.09,51.53,56.14,16.95,1.82,13.83,59.71,3.38,9.22,,342.0,Very Poor
Delhi,2016-05-01,124.21,,52.27,52.3,74.64,17.35,1.9,10.98,74.25,4.16,11.72,,297.0,Poor
Delhi,2016-05-02,119.47,,21.08,41.26,43.36,13.81,1.49,10.0,70.42,2.77,7.29,,275.0,Poor
Delhi,2016-05-03,125.36,284.55,10.0,59.73,52.11,31.89,1.49,21.42,101.53,3.23,8.74,,281.0,Poor
Delhi,2016-05-04,103.08,297.94,18.52,61.77,72.09,49.53,1.44,26.13,91.18,4.3,12.28,,309.0,Very Poor
Delhi,2016-05-05,65.02,173.86,11.94,46.27,53.02,44.78,1.14,18.35,79.9,2.75,11.56,,262.0,Poor
Delhi,2016-05-06,54.34,136.92,21.0,55.07,71.12,35.93,1.12,20.23,65.26,4.02,12.46,,194.0,Moderate
Delhi,2016-05-07,77.89,193.14,15.3,66.68,70.75,39.63,0.98,20.15,75.61,4.69,10.97,,229.0,Poor
Delhi,2016-05-08,90.19,208.75,7.73,64.2,59.4,45.99,1.1,25.25,81.61,4.6,10.54,,246.0,Poor
Delhi,2016-05-09,77.34,168.66,3.71,48.67,43.92,51.11,1.04,18.97,79.06,3.04,6.31,,225.0,Poor
Delhi,2016-05-10,73.55,174.94,5.87,57.52,54.56,43.66,1.05,22.26,68.57,3.71,14.27,,221.0,Poor
Delhi,2016-05-11,66.49,112.6,6.74,52.3,50.94,53.04,0.98,16.32,61.02,2.99,12.34,,185.0,Moderate
Delhi,2016-05-12,100.09,207.98,14.69,64.25,67.9,66.64,1.34,17.95,76.43,4.2,14.3,,218.0,Poor
Delhi,2016-05-13,99.88,250.51,37.0,60.29,80.62,56.26,1.1,16.54,95.52,5.83,18.17,,310.0,Very Poor
Delhi,2016-05-14,105.51,292.64,46.21,67.71,78.61,52.87,1.44,20.49,86.22,6.12,19.79,,307.0,Very Poor
Delhi,2016-05-15,128.85,379.8,50.68,57.06,64.22,46.77,1.83,18.7,56.63,6.57,17.73,,325.0,Very Poor
Delhi,2016-05-16,94.89,247.95,37.68,58.46,85.72,31.0,1.12,21.19,62.4,4.32,10.12,,316.0,Very Poor
Delhi,2016-05-17,92.95,249.27,32.62,62.4,98.0,29.12,1.19,27.34,89.66,4.72,9.81,,302.0,Very Poor
Delhi,2016-05-18,117.64,266.72,52.8,80.57,118.39,26.39,1.76,31.96,105.42,5.44,13.84,,318.0,Very Poor
Delhi,2016-05-19,94.22,219.01,11.17,67.73,74.26,43.64,1.86,27.98,85.76,3.74,9.37,,300.0,Poor
Delhi,2016-05-20,70.86,186.97,7.21,52.02,55.3,57.83,1.07,12.82,77.8,2.58,8.41,,246.0,Poor
Delhi,2016-05-21,78.02,233.72,4.48,48.23,45.61,55.28,0.96,13.08,107.9,1.88,4.19,,255.0,Poor
Delhi,2016-05-22,66.3,149.31,4.99,53.42,50.1,46.09,0.99,15.3,101.65,1.16,2.82,,218.0,Poor
Delhi,2016-05-23,87.31,163.9,5.25,45.86,47.55,40.22,0.79,16.69,93.48,0.87,2.5,,252.0,Poor
Delhi,2016-05-24,57.35,103.26,12.6,43.57,53.77,36.69,0.89,13.46,75.38,0.99,3.18,,190.0,Moderate
Delhi,2016-05-25,105.02,240.52,14.64,50.77,61.13,48.53,1.48,13.98,126.55,1.86,5.87,,256.0,Poor
Delhi,2016-05-26,111.22,293.73,22.75,48.12,58.91,42.29,1.06,11.79,160.06,1.57,5.7,,311.0,Very Poor
Delhi,2016-05-27,180.71,379.29,25.71,50.38,65.02,43.19,1.29,13.73,169.35,2.65,8.03,,381.0,Very Poor
Delhi,2016-05-28,109.82,314.0,8.63,34.37,35.37,29.71,0.96,15.48,120.76,1.62,8.72,,409.0,Severe
Delhi,2016-05-29,42.67,169.36,3.57,35.71,22.06,30.46,0.87,10.6,101.26,0.66,1.44,,269.0,Poor
Delhi,2016-05-30,56.87,101.24,21.03,50.18,64.65,39.34,1.39,11.3,73.43,2.4,9.91,,187.0,Moderate
Delhi,2016-05-31,101.54,214.14,31.68,49.41,78.79,47.17,1.29,9.15,83.4,4.76,18.77,,225.0,Poor
Delhi,2016-06-01,76.56,251.87,17.71,44.55,57.7,37.91,1.04,13.11,86.34,4.57,10.9,,283.0,Poor
Delhi,2016-06-02,81.4,298.5,26.72,49.88,73.71,37.86,1.3,13.87,94.77,4.72,10.98,,316.0,Very Poor
Delhi,2016-06-03,138.97,296.64,53.59,74.99,108.21,44.94,1.7,21.41,129.18,8.08,24.79,,361.0,Very Poor
Delhi,2016-06-04,137.81,274.63,26.48,75.26,92.33,47.59,1.48,15.4,115.31,5.88,20.24,,330.0,Very Poor
Delhi,2016-06-05,77.72,166.28,4.05,36.69,33.03,51.64,0.99,11.7,78.8,2.31,10.45,,256.0,Poor
Delhi,2016-06-06,84.61,208.17,8.11,45.47,45.71,35.52,1.48,14.68,100.24,2.73,12.57,,237.0,Poor
Delhi,2016-06-07,66.72,152.18,8.77,45.5,52.2,33.33,1.77,15.9,82.33,3.28,16.6,,246.0,Poor
Delhi,2016-06-08,64.08,143.88,7.96,57.31,61.05,32.67,1.45,19.95,79.75,4.35,16.88,,202.0,Poor
Delhi,2016-06-09,64.95,187.69,15.09,49.67,63.99,35.28,1.75,15.09,84.94,4.18,13.88,,209.0,Poor
Delhi,2016-06-10,75.75,239.74,20.49,51.75,71.2,30.18,3.84,18.14,92.8,4.58,15.79,,262.0,Poor
Delhi,2016-06-11,69.25,225.52,15.79,38.84,53.11,37.83,3.61,9.83,68.93,4.66,13.22,,280.0,Poor
Delhi,2016-06-12,70.71,272.34,19.62,40.04,59.25,33.33,2.59,9.78,70.91,3.45,10.63,,279.0,Poor
Delhi,2016-06-13,96.72,332.91,20.53,34.52,56.84,34.24,3.24,10.14,98.09,4.68,8.25,,357.0,Very Poor
Delhi,2016-06-14,59.02,197.51,27.2,38.55,68.18,38.65,3.44,8.29,57.42,6.15,9.97,,266.0,Poor
Delhi,2016-06-15,102.42,330.36,18.12,37.74,55.24,42.47,1.59,11.23,65.24,4.53,17.16,,330.0,Very Poor
Delhi,2016-06-16,62.37,109.42,7.69,30.44,32.88,34.5,2.49,9.89,56.97,2.66,9.95,,248.0,Poor
Delhi,2016-06-17,67.76,120.06,16.21,41.27,52.49,32.53,1.87,10.43,59.25,2.66,10.79,,172.0,Moderate
Delhi,2016-06-18,79.17,142.57,7.3,33.98,35.75,33.32,1.94,8.64,68.32,2.64,9.0,,234.0,Poor
Delhi,2016-06-19,101.31,101.54,7.47,32.55,34.9,34.93,2.64,9.51,56.24,2.99,6.88,,201.0,Poor
Delhi,2016-06-20,83.1,84.18,11.99,40.24,47.72,34.93,2.11,11.24,52.76,3.21,9.95,,206.0,Poor
Delhi,2016-06-21,72.33,54.85,6.49,32.04,32.95,35.69,2.49,10.54,43.4,2.81,6.77,,159.0,Moderate
Delhi,2016-06-22,75.14,99.89,9.12,31.89,37.74,31.53,3.73,7.88,51.74,3.39,9.43,,187.0,Moderate
Delhi,2016-06-23,91.63,98.88,10.88,37.7,44.63,28.31,2.11,8.34,55.92,3.55,10.1,,228.0,Poor
Delhi,2016-06-24,100.02,331.1,15.97,45.29,60.69,33.1,2.02,9.03,101.3,3.84,12.19,,284.0,Poor
Delhi,2016-06-25,67.12,175.26,4.67,50.91,51.52,43.4,1.09,10.87,79.26,2.77,10.31,,310.0,Very Poor
Delhi,2016-06-26,48.0,86.63,4.54,40.57,42.04,39.05,0.85,8.71,58.37,2.99,9.68,,158.0,Moderate
Delhi,2016-06-27,76.76,112.46,5.66,37.28,37.28,39.39,1.71,7.63,51.76,2.29,9.34,,154.0,Moderate
Delhi,2016-06-28,80.89,96.05,12.43,40.07,49.02,35.05,3.0,9.77,55.61,2.91,14.57,,187.0,Moderate
Delhi,2016-06-29,60.67,68.43,7.96,37.01,39.52,33.03,2.08,10.22,44.44,2.51,9.39,,180.0,Moderate
Delhi,2016-06-30,69.65,103.25,9.49,34.17,39.9,31.42,2.39,9.43,51.31,2.96,9.9,,190.0,Moderate
Delhi,2016-07-01,58.21,113.1,12.65,29.28,40.04,42.08,2.23,7.97,37.35,3.0,8.64,,164.0,Moderate
Delhi,2016-07-02,57.24,96.62,15.31,33.9,48.12,36.91,2.93,7.81,40.49,3.18,12.52,,148.0,Moderate
Delhi,2016-07-03,67.6,95.26,10.6,36.79,41.59,35.43,2.78,8.77,48.9,2.96,13.77,,154.0,Moderate
Delhi,2016-07-04,57.1,75.83,14.67,37.93,50.05,35.38,1.72,8.88,52.3,2.79,9.43,,160.0,Moderate
Delhi,2016-07-05,68.71,162.2,21.67,47.24,67.91,42.46,2.22,8.51,55.57,3.29,11.92,,165.0,Moderate
Delhi,2016-07-06,77.71,143.29,11.31,34.78,43.72,52.72,2.64,7.6,57.81,3.05,8.64,,210.0,Poor
Delhi,2016-07-07,54.5,80.82,6.51,27.69,29.77,37.18,2.18,8.73,42.67,2.53,6.88,,158.0,Moderate
Delhi,2016-07-08,54.96,98.86,14.06,42.07,51.85,40.9,1.58,8.38,45.55,3.06,10.18,,172.0,Moderate
Delhi,2016-07-09,52.95,87.81,13.01,30.77,41.97,40.31,1.96,7.73,45.1,2.59,9.41,,151.0,Moderate
Delhi,2016-07-10,59.13,86.18,12.96,35.91,46.19,37.92,1.72,7.94,43.24,2.95,10.42,,143.0,Moderate
Delhi,2016-07-11,60.92,74.51,13.86,33.57,45.91,38.15,1.08,7.74,42.22,3.58,8.87,,156.0,Moderate
Delhi,2016-07-12,39.32,57.16,24.89,32.55,58.24,33.66,2.36,9.06,43.95,3.21,18.14,,108.0,Moderate
Delhi,2016-07-13,71.53,79.1,29.55,31.96,57.77,43.92,1.82,8.23,50.01,3.75,17.84,,163.0,Moderate
Delhi,2016-07-14,73.51,56.29,31.24,29.7,54.28,61.03,5.0,7.39,47.3,3.87,13.39,,247.0,Poor
Delhi,2016-07-15,52.88,88.23,24.44,29.17,46.93,38.79,4.65,6.58,36.35,2.84,8.34,,123.0,Moderate
Delhi,2016-07-16,50.99,44.48,14.85,22.38,37.7,40.89,1.21,7.18,33.31,3.47,5.86,,106.0,Moderate
Delhi,2016-07-17,75.93,38.59,14.17,15.75,29.63,33.83,2.48,7.0,28.11,3.43,5.89,,202.0,Poor
Delhi,2016-07-18,44.08,77.07,24.72,32.85,54.62,51.53,1.47,7.31,36.73,4.26,10.89,,120.0,Moderate
Delhi,2016-07-19,42.14,166.27,20.73,31.4,48.11,55.76,1.31,6.78,44.7,4.26,9.89,,135.0,Moderate
Delhi,2016-07-20,56.86,203.09,24.36,34.96,60.14,31.06,1.16,9.36,61.07,2.37,7.57,,245.0,Poor
Delhi,2016-07-21,45.64,240.86,32.54,37.8,79.06,32.92,0.87,7.27,56.3,2.34,6.11,,280.0,Poor
Delhi,2016-07-22,48.36,157.41,20.2,37.42,58.72,37.84,1.14,8.63,64.4,1.91,11.74,,269.0,Poor
Delhi,2016-07-23,42.09,80.14,8.85,23.88,28.63,35.77,0.84,7.23,51.32,1.96,5.07,,163.0,Moderate
Delhi,2016-07-24,59.4,124.47,15.95,56.56,69.2,38.44,1.45,8.91,65.42,2.97,9.41,,,
Delhi,2016-07-25,76.29,163.57,19.52,58.4,73.04,45.77,1.32,7.93,62.62,3.39,12.4,,195.0,Moderate
Delhi,2016-07-26,54.5,95.08,11.64,40.48,50.72,48.6,1.08,8.2,52.3,2.91,10.16,,163.0,Moderate
Delhi,2016-07-27,40.55,58.09,25.41,40.86,65.28,42.48,1.36,10.82,56.73,4.88,14.13,,108.0,Moderate
