location_id,location_name,city,latitude,longitude,sensor_id,parameter,units,unit_priority
3409388,"Kasturi Nagar, Bengaluru - KSPCB",Bengaluru,13.003872,77.664217,12237598,o3,µg/m³,0
3409388,"Kasturi Nagar, Bengaluru - KSPCB",Bengaluru,13.003872,77.664217,12237599,pm10,µg/m³,0
3409388,"Kasturi Nagar, Bengaluru - KSPCB",Bengaluru,13.003872,77.664217,12237600,pm25,µg/m³,0
3409393,"Shivapura_Peenya, Bengaluru - KSPCB",Bengaluru,13.0246342,77.5080115,12237643,o3,µg/m³,0
3409323,"Worli, Mumbai - MPCB",Mumbai,18.9936162,72.8128113,12235914,pm25,µg/m³,0
3409328,"Bandra Kurla Complex, Mumbai - IITM",Mumbai,19.0627,72.84614,12708244,o3,µg/m³,0
3409328,"Bandra Kurla Complex, Mumbai - IITM",Mumbai,19.0627,72.84614,12708245,pm10,µg/m³,0
3409328,"Bandra Kurla Complex, Mumbai - IITM",Mumbai,19.0627,72.84614,12708246,pm25,µg/m³,0
3409329,"Deonar, Mumbai - IITM",Mumbai,19.04946,72.923,12236383,o3,µg/m³,0
3409329,"Deonar, Mumbai - IITM",Mumbai,19.04946,72.923,12236384,pm10,µg/m³,0
3409329,"Deonar, Mumbai - IITM",Mumbai,19.04946,72.923,12236385,pm25,µg/m³,0
3409330,"Sector-19A Nerul, Navi Mumbai - IITM",Mumbai,19.044,73.0325,14230327,pm10,µg/m³,0
5607,"Peenya, Bengaluru - CPCB",Bengaluru,13.0270199,77.494094,14850,no2,µg/m³,0
5607,"Peenya, Bengaluru - CPCB",Bengaluru,13.0270199,77.494094,40537,o3,µg/m³,0
5607,"Peenya, Bengaluru - CPCB",Bengaluru,13.0270199,77.494094,1303005,pm10,µg/m³,0
5607,"Peenya, Bengaluru - CPCB",Bengaluru,13.0270199,77.494094,12235370,pm25,µg/m³,0
5607,"Peenya, Bengaluru - CPCB",Bengaluru,13.0270199,77.494094,14862,so2,µg/m³,0
3409319,"Alandur Bus Depot, Chennai - CPCB",Chennai,12.9099161,80.1076538,12235548,pm10,µg/m³,0
3409319,"Alandur Bus Depot, Chennai - CPCB",Chennai,12.9099161,80.1076538,12235549,pm25,µg/m³,0
3409320,"Rabindra Bharati University, Kolkata - WBPCB",Kolkata,22.627875,88.3804,12235563,o3,µg/m³,0
3409320,"Rabindra Bharati University, Kolkata - WBPCB",Kolkata,22.627875,88.3804,12235564,pm10,µg/m³,0
3409320,"Rabindra Bharati University, Kolkata - WBPCB",Kolkata,22.627875,88.3804,12235565,pm25,µg/m³,0
5610,"North Campus, DU, Delhi - IMD",Delhi,28.6573814,77.1585447,14909,co,µg/m³,0
5610,"North Campus, DU, Delhi - IMD",Delhi,28.6573814,77.1585447,14902,no2,µg/m³,0
5610,"North Campus, DU, Delhi - IMD",Delhi,28.6573814,77.1585447,14889,o3,µg/m³,0
5610,"North Campus, DU, Delhi - IMD",Delhi,28.6573814,77.1585447,14886,pm10,µg/m³,0
5610,"North Campus, DU, Delhi - IMD",Delhi,28.6573814,77.1585447,12234690,pm25,µg/m³,0
5613,"ITO, New Delhi - CPCB",Delhi,28.628624,77.24106,17782,co,µg/m³,0
3409323,"Worli, Mumbai - MPCB",Mumbai,18.9936162,72.8128113,12235912,o3,µg/m³,0
3409323,"Worli, Mumbai - MPCB",Mumbai,18.9936162,72.8128113,12235913,pm10,µg/m³,0
3409312,"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,12.9352049,77.6814488,14411592,pm10,µg/m³,0
3409312,"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,12.9352049,77.6814488,14406995,pm25,µg/m³,0
3409318,"Central School, Lucknow - CPCB",Lucknow,26.8821003,80.9302753,12235476,o3,µg/m³,0
