location_id,name,locality,latitude,longitude,sensor_ids,parameters,is_mobile,is_monitor,provider,city
6932,"Alipur, Delhi - DPCC",,28.815329,77.15301,"[19939, 12235693, 12235694, 12235695, 19948, 14340882, 12235696, 19950, 12235697, 19936, 19935, 12235698, 12235699, 12235700, 19912, 12235701, 14340883, 14340884]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Delhi
6934,"Dr. Karni Singh Shooting Range, Delhi - DPCC",,28.498571,77.26484,"[12235006, 19925, 12235007, 12235008, 19930, 14340740, 19917, 12235009, 12235010, 19941, 12235011, 19919, 12235012, 12235013, 19943, 12235014, 14340741, 14340742]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Delhi
6938,"Vivek Vihar, Delhi - DPCC",,28.672342,77.31526,"[12235128, 19926, 12235129, 12235130, 19929, 14340778, 19932, 12235131, 19933, 12235132, 19934, 12235133, 12235134, 12235135, 19938, 12235136, 14340779, 14340780]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Delhi
6943,"Mahape, Navi Mumbai - MPCB",,19.1135051,73.008978,"[20128, 12235900, 12235901, 20069, 12235902, 14340937, 12235903, 19961, 20068, 12235904, 20046, 12235905, 12235906, 20023, 12235907, 12235908, 14341952, 14341953]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Mumbai
6945,"Kurla, Mumbai - MPCB",,19.0863,72.8888,"[19993, 12235829, 12235830, 20076, 12235831, 14340922, 19968, 12235832, 12235833, 19975, 12235834, 19978, 12235835, 12289836, 19987, 12235836, 14340923, 14340924]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Mumbai
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",,19.10078,72.87462,"[19976, 12235855, 12235856, 19977, 12235857, 14340928, 19979, 12235858, 19980, 12235859, 19981, 12235860, 12235861, 19982, 12235862, 12235863, 14340929, 14340930]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Mumbai
6950,"Jadavpur, Kolkata - WBPCB",,22.49929,88.36917,"[19986, 12235882, 12235883, 12235884, 19988, 14341946, 19991, 12235885, 19994, 12235886, 19997, 12235887, 12235888, 12235889, 20002, 12235890, 14341947, 14341948]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Kolkata
6956,"Powai, Mumbai - MPCB",,19.1375,72.915056,"[20125, 12235891, 12235892, 20083, 12235893, 14340934, 12235894, 20054, 20010, 12235895, 20079, 12235896, 12235897, 20101, 12235898, 12235899, 14340935, 14340936]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Mumbai
6957,"Jawaharlal Nehru Stadium, Delhi - DPCC",,28.58028,77.233829,"[12235033, 20015, 12235034, 12235035, 20017, 14340749, 12235036, 20018, 20019, 12235037, 20020, 12235038, 12235039, 12235040, 20021, 12235041, 14340750, 14340751]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Delhi
6959,"Siddharth Nagar-Worli, Mumbai - IITM",,19.000083,72.813993,"[20029, 12236430, 12236431, 12236432, 20030, 14342065, 12236433, 20031, 20032, 12236434, 12236435, 20033, 12236436, 20034, 12236437, 14342066, 14342067]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Mumbai
