location_id,name,locality,latitude,longitude,sensor_ids,parameters,is_mobile,is_monitor,provider
2587,"Sector16A, Faridabad - HSPCB",,28.410122219999998,77.313775,"[5347, 5341, 5344, 40563, 13900, 13901]","['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']",False,True,CPCB
2589,SaneguravaHalli - KSPCB,,12.9916694,77.5458305555555,"[5350, 5349, 5348, 14129]","['co', 'no2', 'pm10', 'so2']",False,True,CPCB
2591,Ardhali Bazar,,25.35055556,82.97833333,"[5369, 5367, 5365, 5364, 5362, 14234]","['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']",False,True,CPCB
2592,"BWSSB Kadabesanahalli, Bengaluru - KSPCB",,12.93890556,77.69727222,"[5381, 5380, 5375, 13898, 13888]","['co', 'no2', 'o3', 'pm25', 'so2']",False,True,CPCB
2593,IGSC Planetarium Complex - Patna - BSPCB,,25.3636,85.0755,"[5383, 5386, 5384, 5385, 14315]","['co', 'no2', 'o3', 'pm25', 'so2']",False,True,CPCB
2594,"Sanathnagar, Hyderabad - TSPCB",,17.42329722,78.47469722,"[5387, 5389, 9127, 9128]","['co', 'o3', 'pm25', 'so2']",False,True,CPCB
2595,Nehru Nagar,,26.470308800000005,80.3251749,"[5392, 5393, 5395, 5391, 5394]","['co', 'no2', 'o3', 'pm25', 'so2']",False,True,CPCB
2596,"Solapur, Solapur - MPCB",,17.6599188,75.9063906,"[5406, 12235614, 5402, 12235615, 14341872, 5401, 5399, 12235616, 12235617, 5397, 12235618, 12235619, 5403, 12235620, 14341873, 14341874]","['co', 'no', 'no2', 'no2', 'nox', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
2597,US Diplomatic Post: New Delhi,,28.598096,77.189066,[5398],['pm25'],False,True,StateAir NewDelhi
2598,Navi Mumbai Municipal Corporation Airoli,,19.1494,72.9986,"[5400, 5408, 5404, 13523]","['co', 'pm10', 'pm25', 'so2']",False,True,CPCB
5404,"Pusa, Delhi - IMD",,28.639645,77.146263,"[14086, 12234697, 12234698, 14084, 12234699, 14340700, 12234700, 12234701, 14085, 14087, 12234702]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'pm10', 'pm10', 'pm25', 'pm25']",False,True,CPCB
